Carga Horária,Categoria da Situação,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino,dia_inicio_ciclo,mes_inicio_ciclo,ano_inicio_ciclo,dia_fim_ciclo,mes_fim_ciclo,ano_fim_ciclo,dia_ocorrencia,mes_ocorrencia,ano_ocorrencia,delta_days
2790,0,parda,2018-02-19,2020-12-22,15 a 19 anos,1.067,18.0,UFPI - CABJ,2021-12-23,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI,19,2,2018,22,12,2020,23,12,2021,1403
2460,0,preta,2018-02-06,2020-12-20,20 a 24 anos,1.067,20.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Matutino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
2460,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,19.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Vespertino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
7740,0,parda,2019-02-11,2021-12-17,15 a 19 anos,1.067,17.0,UFCG - ETSC,2021-12-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG,11,2,2019,17,12,2021,1,12,2021,1024
2788,1,parda,2021-03-15,2023-12-30,15 a 19 anos,1.067,17.0,UFPI - CAT,2021-03-01,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Teresina da UFPI,15,3,2021,30,12,2023,1,3,2021,-14
2788,1,parda,2021-03-15,2023-12-30,15 a 19 anos,1.067,16.0,UFPI - CAT,2021-03-01,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Teresina da UFPI,15,3,2021,30,12,2023,1,3,2021,-14
2790,1,parda,2020-02-18,2022-12-20,15 a 19 anos,1.067,16.0,UFPI - CABJ,2021-04-01,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI,18,2,2020,20,12,2022,1,4,2021,408
4560,0,branca,2017-04-07,2019-12-21,20 a 24 anos,1.067,20.0,CPII,2021-04-12,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus São Cristóvão III,7,4,2017,21,12,2019,12,4,2021,1466
4560,0,preta,2017-04-07,2019-12-21,20 a 24 anos,1.067,20.0,CPII,2021-04-12,Região Sudeste,"0<RFP<=0,5",Masculino,Matutino,RJ,Campus São Cristóvão III,7,4,2017,21,12,2019,12,4,2021,1466
4560,1,branca,2016-03-07,2018-12-28,20 a 24 anos,1.067,23.0,CPII,2021-07-01,Região Sudeste,"1,0<RFP<=1,5",Masculino,Noturno,RJ,Campus Humaitá II,7,3,2016,28,12,2018,1,7,2021,1942
