Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
4560,Concluintes,72308758,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72797746,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Concluintes,72752934,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Realengo II
4560,Concluintes,72808826,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Evadidos,85562286,branca,2018-04-06,2021-02-06,15 a 19 anos,1.0,17.0,CPII,2020-11-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Evadidos,90243979,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-03-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Duque de Caxias CP
4560,Concluintes,72730565,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Engenho Novo II
4560,Concluintes,72312265,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72312283,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72308236,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus São Cristóvão III
